#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:12:00       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:01       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:01       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:01       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:01       0      79430   C+G     31     10      -      -      -      -     32      0    mutter-devkit  
 22:12:01       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:02       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:02       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:02       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:02       0      79430   C+G     32      5      -      -      -      -     32      0    mutter-devkit  
 22:12:02       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:03       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:03       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:03       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:03       0      79430   C+G     31      5      -      -      -      -     32      0    mutter-devkit  
 22:12:03       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:04       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:04       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:04       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:04       0      79430   C+G     32      5      -      -      -      -     32      0    mutter-devkit  
 22:12:04       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:05       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:12:05       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:05       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:05       0      79430   C+G     31      8      -      -      -      -     32      0    mutter-devkit  
 22:12:05       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:06       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:06       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:06       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:06       0      79430   C+G     30      7      -      -      -      -     32      0    mutter-devkit  
 22:12:06       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:07       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:07       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:07       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:07       0      79430   C+G     30      9      -      -      -      -     32      0    mutter-devkit  
 22:12:07       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:08       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:08       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:08       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:08       0      79430   C+G     31      7      -      -      -      -     32      0    mutter-devkit  
 22:12:08       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:09       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:09       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:09       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:09       0      79430   C+G     31      8      -      -      -      -     32      0    mutter-devkit  
 22:12:09       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:10       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:10       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:10       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:10       0      79430   C+G     31      8      -      -      -      -     32      0    mutter-devkit  
 22:12:10       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:11       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:11       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:11       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:11       0      79430   C+G     29      6      -      -      -      -     32      0    mutter-devkit  
 22:12:11       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:12       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:12       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:12       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:12       0      79430   C+G     30      6      -      -      -      -     32      0    mutter-devkit  
 22:12:12       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:13       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:13       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:13       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:13       0      79430   C+G     30      7      -      -      -      -     32      0    mutter-devkit  
 22:12:13       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
#Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 22:12:14       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:14       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:14       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:14       0      79430   C+G     29      8      -      -      -      -     32      0    mutter-devkit  
 22:12:14       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:15       0       3555     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:15       0      70347   C+G      -      -      -      -      -      -      4      0    milkdrop       
 22:12:15       0      79378     G      -      -      -      -      -      -      2      0    gnome-shell    
 22:12:15       0      79430   C+G     30      5      -      -      -      -     32      0    mutter-devkit  
 22:12:15       0      81021   C+G      -      -      -      -      -      -      4      0    milkdrop       
